X,Y,Name,CITY,CROSS_ST,DIR,Field_1,OWLROUTES,POINT_X,POINT_Y,POS,PUBLIC_NAME,ROUTESSTPG,SHAPE,STATUS,STREET,SYSTEMSTOP
-87.807398886,41.958308051,Harlem & Cullom,NORRIDGE,CULLOM,SB,"Harlem &amp; Cullom",,-87.807399,41.958308,NS,"Harlem &amp; Cullom",90,Point,In Service,HARLEM,11771
-87.807372153,41.961371366,Harlem & Agatite,NORRIDGE,AGATITE (south leg),SB,"Harlem &amp; Agatite",,-87.807372,41.961371,NS,"Harlem &amp; Agatite",90,Point,In Service,HARLEM,11769
-87.807103,41.958099,Harlem & Cullom,NORRIDGE,CULLOM,NB,"Harlem &amp; Cullom",,-87.807103,41.958099,NS,"Harlem &amp; Cullom",90,Point,In Service,HARLEM,11813
-87.806924167,41.977028162,Harlem & Berwyn,CHICAGO,BERWYN,NB,"Harlem &amp; Berwyn",,-87.806924,41.977028,NS,"Harlem &amp; Berwyn",90,Point,In Service,HARLEM,15927
-87.806360175,41.980874836,Higgins & Harlem,CHICAGO,HARLEM,SEB,"Higgins &amp; Harlem",,-87.80636,41.980875,FS,"Higgins &amp; Harlem",88,Point,In Service,HIGGINS,9860
-87.801059117,41.78475322,Harlem & 59th Street,CHICAGO,59TH STREET,NB,"Harlem &amp; 59th Street",,-87.801059,41.784753,FS,"Harlem &amp; 59th Street",62H,Point,In Service,HARLEM,7811
-87.801290522,41.908839391,North Ave & Forest,OAK PARK,FOREST,EB,"North Ave &amp; Forest",,-87.801291,41.908839,NS,"North Ave &amp; Forest",72,Point,In Service,NORTH AVENUE,846
-87.800835231,41.930893084,Diversey & Sayre,CHICAGO,SAYRE,WB,"Diversey &amp; Sayre",,-87.800835,41.930893,NS,"Diversey &amp; Sayre",76,Point,In Service,DIVERSEY,11108
-87.803229801,41.945401532,Addison & Nordica,CHICAGO,NORDICA,WB,"Addison &amp; Nordica",,-87.80323,41.945402,NS,"Addison &amp; Nordica",152,Point,In Service,ADDISON,12619
-87.802265667,41.980170933,Higgins & Nordica,CHICAGO,NORDICA,NWB,"Higgins &amp; Nordica",,-87.802266,41.980171,NS,"Higgins &amp; Nordica",88,Point,In Service,HIGGINS,9817
-87.798271991,41.777450684,63rd Street & Nottingham,CHICAGO,NOTTINGHAM,WB,"63rd Street &amp; Nottingham",,-87.798272,41.777451,NT,"63rd Street &amp; Nottingham",63W,Point,In Service,63RD STREET,4682
-87.800126938,41.909058204,North Ave & Sayre,CHICAGO,SAYRE,WB,"North Ave &amp; Sayre",,-87.800127,41.909058,NS,"North Ave &amp; Sayre",72,Point,In Service,NORTH AVENUE,999
-87.799251999,41.930779,Diversey & Newland,CHICAGO,NEWLAND,EB,"Diversey &amp; Newland",,-87.799252,41.930779,NS,"Diversey &amp; Newland",76,Point,In Service,DIVERSEY,10967
-87.797669704,41.991448877,Northwest Hwy & Nettleton,CHICAGO,NETTLETON,SEB,"Northwest Hwy &amp; Nettleton",,-87.79767,41.991449,NT,"Northwest Hwy &amp; Nettleton",68,Point,In Service,NORTHWEST HWY,9938
-87.793533658,41.773892357,65th Street & New England,CHICAGO,NEW ENGLAND,WB,"65th Street &amp; New England",,-87.793534,41.773892,FS,"65th Street &amp; New England",165,Point,In Service,65TH STREET,3345
-87.796352825,41.792155068,Archer & Sayre,CHICAGO,SAYRE,WB,"Archer &amp; Sayre",,-87.796353,41.792155,NS,"Archer &amp; Sayre","62,62H",Point,In Service,ARCHER,4540
-87.795778063,41.945420605,Addison & Oak Park,CHICAGO,OAK PARK,EB,"Addison &amp; Oak Park",,-87.795778,41.945421,FS,"Addison &amp; Oak Park",152,Point,In Service,ADDISON,17145
-87.793634222,41.945439566,Addison & Normandy,CHICAGO,NORMANDY,EB,"Addison &amp; Normandy",,-87.793634,41.94544,NS,"Addison &amp; Normandy",152,Point,In Service,ADDISON,12483
-87.793924999,41.952720001,Irving Park & Normandy,CHICAGO,NORMANDY,EB,"Irving Park &amp; Normandy",,-87.793925,41.95272,NS,"Irving Park &amp; Normandy",80,Point,In Service,IRVING PARK,5611
-87.795069682,41.968318033,Gunnison & Rutherford,HARWOOD HEIGHTS,RUTHERFORD,EB,"Gunnison &amp; Rutherford",,-87.79507,41.968318,NT,"Gunnison &amp; Rutherford",81W,Point,In Service,GUNNISON,9728
-87.793384773,41.989039205,Northwest Hwy & Naper,CHICAGO,NAPER,SEB,"Northwest Hwy &amp; Naper",,-87.793385,41.989039,NT,"Northwest Hwy &amp; Naper",68,Point,In Service,NORTHWEST HWY,9940
-87.790777674,41.773938665,65th Street & Oak Park,CHICAGO,OAK PARK,WB,"65th Street &amp; Oak Park",,-87.790778,41.773939,NS,"65th Street &amp; Oak Park",165,Point,In Service,65TH STREET,3343
-87.790971933,41.909139298,North Ave & Natoma,CHICAGO,NATOMA,WB,"North Ave &amp; Natoma",,-87.790972,41.909139,FS,"North Ave &amp; Natoma",72,Point,In Service,NORTH AVENUE,996
-87.790523015,41.931020896,6600 W Diversey,CHICAGO,SERV.DR.(e. of RR CRSSG.),WB,6600 W Diversey,,-87.790523,41.931021,NT,6600 W Diversey,76,Point,In Service,DIVERSEY,11103
-87.790551333,41.959260067,Wright College (West Entrance),CHICAGO,WRIGHT COLLEGE STOP #2,NB,Wright College (West Entrance),,-87.790551,41.95926,NS,Wright College (West Entrance),86,Point,In Service,NEENAH (WRIGHT COLLEGE),15564
-87.790144333,41.977095069,Higgins & Neenah,CHICAGO,NEENAH,NWB,"Higgins &amp; Neenah",,-87.790144,41.977095,NS,"Higgins &amp; Neenah",88,Point,In Service,HIGGINS,9810
-87.786050962,41.777664921,63rd Street & Nashville,CHICAGO,NASHVILLE,WB,"63rd Street &amp; Nashville",,-87.786051,41.777665,NS,"63rd Street &amp; Nashville",63W,Point,In Service,63RD STREET,4677
-87.788168985,41.923763906,6450 W Fullerton,CHICAGO,6450 WEST,WB,6450 W Fullerton,,-87.788169,41.923764,MB,6450 W Fullerton,74,Point,In Service,FULLERTON,1283
-87.787692833,41.923275129,Grand & Natchez,CHICAGO,NATCHEZ,WB,"Grand &amp; Natchez",,-87.787693,41.923275,NT,"Grand &amp; Natchez",65,Point,In Service,GRAND,838
-87.785672,41.932742,Narragansett & George,CHICAGO,GEORGE,NB,"Narragansett &amp; George",,-87.785672,41.932742,NS,"Narragansett &amp; George",86,Point,In Service,NARRAGANSETT,11751
-87.786196,41.940231,Narragansett & School,CHICAGO,SCHOOL,SB,"Narragansett &amp; School",,-87.786196,41.940231,NS,"Narragansett &amp; School",86,Point,In Service,NARRAGANSETT,11695
-87.786357,41.950112,Narragansett & Berenice,CHICAGO,BERENICE,NB,"Narragansett &amp; Berenice",,-87.786357,41.950112,NS,"Narragansett &amp; Berenice",86,Point,In Service,NARRAGANSETT,11761
-87.786381331,41.952991339,Irving Park & Narragansett,CHICAGO,NARRAGANSETT,WB,"Irving Park &amp; Narragansett",,-87.786381,41.952991,NS,"Irving Park &amp; Narragansett",80,Point,In Service,IRVING PARK,5734
-87.787795593,41.975568131,Nagle & Foster,CHICAGO,FOSTER,NB,"Nagle &amp; Foster",,-87.787796,41.975568,NS,"Nagle &amp; Foster",86,Point,In Service,NAGLE,9698
-87.787753244,41.985762902,Nagle & Northwest Hwy,CHICAGO,NORTHWEST HWY,SB,"Nagle &amp; Northwest Hwy",,-87.787753,41.985763,FS,"Nagle &amp; Northwest Hwy",86,Point,In Service,NAGLE,14968
-87.784805843,41.890476591,Ridgeland & Ontario,OAK PARK,ONTARIO,SB,"Ridgeland &amp; Ontario",,-87.784806,41.890477,NS,"Ridgeland &amp; Ontario",86,Point,In Service,RIDGELAND,11721
-87.782979859,41.888110932,Lake Street & Cuyler (Green Line),OAK PARK,CUYLER,EB,"Lake Street &amp; Cuyler (Green Line)",,-87.78298,41.888111,FT,"Lake Street &amp; Cuyler (Green Line)",86,Point,In Service,LAKE STREET,11723
-87.78487541,41.891789938,Ridgeland & Erie,OAK PARK,ERIE,SB,"Ridgeland &amp; Erie",,-87.784875,41.89179,NS,"Ridgeland &amp; Erie",86,Point,In Service,RIDGELAND,11720
-87.784965169,41.899799097,Ridgeland & Thomas,OAK PARK,THOMAS,NB,"Ridgeland &amp; Thomas",,-87.784965,41.899799,NS,"Ridgeland &amp; Thomas",86,Point,In Service,RIDGELAND,11733
-87.784870088,41.901934297,Ridgeland & Division,OAK PARK,DIVISION,SB,"Ridgeland &amp; Division",,-87.78487,41.901934,NS,"Ridgeland &amp; Division",86,Point,In Service,RIDGELAND,11714
-87.783473428,41.905860697,Ridgeland & Greenfield,OAK PARK,GREENFIELD,SB,"Ridgeland &amp; Greenfield",,-87.783473,41.905861,NS,"Ridgeland &amp; Greenfield",86,Point,In Service,RIDGELAND,11712
-87.783044086,41.923817745,Fullerton & Mobile,CHICAGO,MOBILE,WB,"Fullerton &amp; Mobile",,-87.783044,41.923818,MT,"Fullerton &amp; Mobile",74,Point,In Service,FULLERTON,1281
-87.780996441,41.774102038,65th Street & Narragansett,CHICAGO,NARRAGANSETT,WB,"65th Street &amp; Narragansett",,-87.780996,41.774102,NS,"65th Street &amp; Narragansett",165,Point,In Service,65TH STREET,3338
-87.781468999,41.781414,Narragansett & 61st Street,CHICAGO,61ST STREET,SB,"Narragansett &amp; 61st Street",,-87.781469,41.781414,NS,"Narragansett &amp; 61st Street",55N,Point,In Service,NARRAGANSETT,4673
-87.781537999,41.783249,Narragansett & 60th Street,CHICAGO,60TH STREET,SB,"Narragansett &amp; 60th Street",,-87.781538,41.783249,NS,"Narragansett &amp; 60th Street",55N,Point,In Service,NARRAGANSETT,4672
-87.778041345,41.793396474,Archer & Merrimac,CHICAGO,MERRIMAC,SWB,"Archer &amp; Merrimac",,-87.778041,41.793396,NS,"Archer &amp; Merrimac","62,62H",Point,In Service,ARCHER,4531
-87.780615935,41.923691997,Fullerton & Melvina,CHICAGO,MELVINA,EB,"Fullerton &amp; Melvina",,-87.780616,41.923692,NS,"Fullerton &amp; Melvina",74,Point,In Service,FULLERTON,1292
-87.778294338,41.93117192,Diversey & Meade,CHICAGO,MEADE,WB,"Diversey &amp; Meade",,-87.778294,41.931172,NS,"Diversey &amp; Meade",76,Point,In Service,DIVERSEY,11098
-87.779045,41.945686,Addison & Meade,CHICAGO,MEADE,EB,"Addison &amp; Meade",,-87.779045,41.945686,NS,"Addison &amp; Meade",152,Point,In Service,ADDISON,12490
-87.779346,41.952948001,Irving Park & Meade,CHICAGO,MEADE,EB,"Irving Park &amp; Meade",,-87.779346,41.952948,NS,"Irving Park &amp; Meade",80,Point,In Service,IRVING PARK,5617
-87.778633142,41.973382948,Higgins & Austin,CHICAGO,AUSTIN,NWB,"Higgins &amp; Austin",,-87.778633,41.973383,FS,"Higgins &amp; Austin",88,Point,In Service,HIGGINS,15038
-87.779728919,42.003493135,Caldwell & Wildwood,CHICAGO,WILDWOOD,NWB,"Caldwell &amp; Wildwood",,-87.779729,42.003493,NS,"Caldwell &amp; Wildwood",85A,Point,In Service,CALDWELL,11653
-87.776518417,41.77770702,63rd Street & Melvina,CHICAGO,MELVINA,EB,"63rd Street &amp; Melvina",,-87.776518,41.777707,NS,"63rd Street &amp; Melvina",63W,Point,In Service,63RD STREET,3303
-87.774384029,41.792550365,55th Street & Meade,CHICAGO,MEADE,WB,"55th Street &amp; Meade",,-87.774384,41.79255,NS,"55th Street &amp; Meade",55N,Point,In Service,55TH STREET,4551
-87.774145886,41.869165207,Austin & Harvard/Arthington,CHICAGO,HARVARD/ARTHINGTON,NB,"Austin &amp; Harvard/Arthington",,-87.774146,41.869165,FS,"Austin &amp; Harvard/Arthington",91,Point,In Service,AUSTIN,9619
-87.774954011,41.886914735,Austin & Corcoran/South Blvd (Green Line),OAK PARK,SOUTH BLVD/CORCORAN,SB,"Austin &amp; Corcoran/South Blvd (Green Line)",,-87.774954,41.886915,FS,"Austin &amp; Corcoran/South Blvd (Green Line)",91,Point,In Service,AUSTIN,9603
-87.775134202,41.891735695,Austin & Erie,OAK PARK,ERIE,SB,"Austin &amp; Erie",,-87.775134,41.891736,FS,"Austin &amp; Erie",91,Point,In Service,AUSTIN,9600
-87.775350326,41.903941586,Austin & Berkshire/Potomac,CHICAGO,BERKSHIRE/POTOMAC,NB,"Austin &amp; Berkshire/Potomac",,-87.77535,41.903942,FS,"Austin &amp; Berkshire/Potomac",91,Point,In Service,AUSTIN,9639
-87.775510611,41.909106693,Austin & North Ave,CHICAGO,NORTH AVENUE,NB,"Austin &amp; North Ave",,-87.775511,41.909107,NS,"Austin &amp; North Ave",91,Point,In Service,AUSTIN,9642
-87.775358,41.911155,Austin & Wabansia,CHICAGO,WABANSIA,SB,"Austin &amp; Wabansia",,-87.775358,41.911155,NS,"Austin &amp; Wabansia",91,Point,In Service,AUSTIN,9587
-87.775483139,41.914330046,Austin & Cortland,CHICAGO,CORTLAND,SB,"Austin &amp; Cortland",,-87.775483,41.91433,NS,"Austin &amp; Cortland",91,Point,In Service,AUSTIN,9585
-87.775588609,41.923937629,Fullerton & Austin,CHICAGO,AUSTIN,WB,"Fullerton &amp; Austin",,-87.775589,41.923938,NS,"Fullerton &amp; Austin",74,Point,In Service,FULLERTON,1278
-87.775520255,41.920761021,Austin & Grand,CHICAGO,GRAND,NB,"Austin &amp; Grand",,-87.77552,41.920761,FS,"Austin &amp; Grand",91,Point,In Service,AUSTIN,9647
-87.775849999,41.92573,Austin & Altgeld,CHICAGO,ALTGELD,SB,"Austin &amp; Altgeld",,-87.77585,41.92573,NS,"Austin &amp; Altgeld",91,Point,In Service,AUSTIN,9580
-87.775814121,41.929248421,Austin & Schubert,CHICAGO,SCHUBERT,NB,"Austin &amp; Schubert",,-87.775814,41.929248,NS,"Austin &amp; Schubert",91,Point,In Service,AUSTIN,9652
-87.775625192,41.931077093,Diversey & Austin,CHICAGO,AUSTIN,EB,"Diversey &amp; Austin",,-87.775625,41.931077,FS,"Diversey &amp; Austin",76,Point,In Service,DIVERSEY,18337
-87.776166637,41.934869291,Austin & Wellington,CHICAGO,WELLINGTON,SB,"Austin &amp; Wellington",,-87.776167,41.934869,NS,"Austin &amp; Wellington",91,Point,In Service,AUSTIN,9575
-87.776026714,41.935060744,Austin & Wellington,CHICAGO,WELLINGTON,NB,"Austin &amp; Wellington",,-87.776027,41.935061,FS,"Austin &amp; Wellington",91,Point,In Service,AUSTIN,15539
-87.776063591,41.938525525,Belmont & Austin,CHICAGO,AUSTIN,WB,"Belmont &amp; Austin",N77,-87.776064,41.938526,NS,"Belmont &amp; Austin",77,Point,In Service,BELMONT,9338
-87.776558999,41.949324,Austin & Grace,CHICAGO,GRACE,NB,"Austin &amp; Grace",,-87.776559,41.949324,NS,"Austin &amp; Grace",91,Point,In Service,AUSTIN,9663
-87.777028999,41.958595001,Austin & Cullom,CHICAGO,CULLOM,SB,"Austin &amp; Cullom",,-87.777029,41.958595,NS,"Austin &amp; Cullom",91,Point,In Service,AUSTIN,9562
-87.775778266,41.979194895,Northwest Hwy & Marmora,CHICAGO,MARMORA,SEB,"Northwest Hwy &amp; Marmora",,-87.775778,41.979195,NT,"Northwest Hwy &amp; Marmora",68,Point,In Service,NORTHWEST HWY,9949
-87.773902758,41.774079656,65th Street & Meade,BEDFORD PARK,MEADE,EB,"65th Street &amp; Meade",,-87.773903,41.77408,NT,"65th Street &amp; Meade",165,Point,In Service,65TH STREET,3362
-87.77150964,41.774118063,65th Street & Austin,BEDFORD PARK,AUSTIN,EB,"65th Street &amp; Austin",,-87.77151,41.774118,NS,"65th Street &amp; Austin",165,Point,In Service,65TH STREET,3363
-87.771775999,41.783437,Austin & 60th Street,CHICAGO,60TH STREET,SB,"Austin &amp; 60th Street",,-87.771776,41.783437,NS,"Austin &amp; 60th Street",55A,Point,In Service,AUSTIN,4562
-87.771702001,41.78511,Austin & 59th Street,CHICAGO,59TH STREET,NB,"Austin &amp; 59th Street",,-87.771702,41.78511,NS,"Austin &amp; 59th Street",55A,Point,In Service,AUSTIN,4575
-87.773543844,41.85091605,Cermak & Austin,CICERO,AUSTIN,WB,"Cermak &amp; Austin",,-87.773544,41.850916,NS,"Cermak &amp; Austin","21,322",Point,In Service,CERMAK,6958
-87.774044999,41.865629,Austin & Roosevelt,CHICAGO,ROOSEVELT,NB,"Austin &amp; Roosevelt",,-87.774045,41.865629,FS,"Austin &amp; Roosevelt",91,Point,In Service,AUSTIN,9617
-87.772404001,41.894698,Chicago & Mayfield,CHICAGO,MAYFIELD,EB,"Chicago &amp; Mayfield",,-87.772404,41.894698,NS,"Chicago &amp; Mayfield",66,Point,In Service,CHICAGO,511
-87.773350862,41.923757348,Fullerton & Marmora,CHICAGO,MARMORA,EB,"Fullerton &amp; Marmora",,-87.773351,41.923757,NS,"Fullerton &amp; Marmora",74,Point,In Service,FULLERTON,1295
-87.770972295,41.931286854,Diversey & Menard,CHICAGO,MENARD,WB,"Diversey &amp; Menard",,-87.770972,41.931287,NS,"Diversey &amp; Menard",76,Point,In Service,DIVERSEY,11095
-87.772252,41.960354001,Montrose & Menard,CHICAGO,MENARD,EB,"Montrose &amp; Menard",,-87.772252,41.960354,NS,"Montrose &amp; Menard",78,Point,In Service,MONTROSE,11314
-87.773322741,41.971928314,Higgins & Menard,CHICAGO,MENARD,NWB,"Higgins &amp; Menard",,-87.773323,41.971928,NS,"Higgins &amp; Menard",88,Point,In Service,HIGGINS,9802
-87.773122436,41.971733662,Higgins & Menard,CHICAGO,MENARD,SEB,"Higgins &amp; Menard",,-87.773122,41.971734,FS,"Higgins &amp; Menard",88,Point,In Service,HIGGINS,15188
-87.768655482,41.851025163,Cermak & 58th Avenue,CICERO,58TH AVENUE,WB,"Cermak &amp; 58th Avenue",,-87.768655,41.851025,NS,"Cermak &amp; 58th Avenue","21,322",Point,In Service,CERMAK,6957
-87.768004999,41.894753,Chicago & Waller,CHICAGO,WALLER (west leg),EB,"Chicago &amp; Waller",,-87.768005,41.894753,NS,"Chicago &amp; Waller",66,Point,In Service,CHICAGO,513
-87.76733569,41.960587172,Central & Montrose,CHICAGO,MONTROSE,SB,"Central &amp; Montrose",,-87.767336,41.960587,NS,"Central &amp; Montrose",85,Point,In Service,CENTRAL,11525
-87.767104001,41.958565,Central & Cullom,CHICAGO,CULLOM,NB,"Central &amp; Cullom",,-87.767104,41.958565,NS,"Central &amp; Cullom",85,Point,In Service,CENTRAL,11624
-87.767428967,41.963866757,Central & Wilson,CHICAGO,WILSON (south leg),SB,"Central &amp; Wilson",,-87.767429,41.963867,FT,"Central &amp; Wilson",85,Point,In Service,CENTRAL,17993
-87.767368999,41.962413001,Central & Sunnyside,CHICAGO,SUNNYSIDE,SB,"Central &amp; Sunnyside",,-87.767369,41.962413,NS,"Central &amp; Sunnyside",85,Point,In Service,CENTRAL,11524
-87.76719204,41.962218135,Central & Sunnyside,CHICAGO,SUNNYSIDE,NB,"Central &amp; Sunnyside",,-87.767192,41.962218,NS,"Central &amp; Sunnyside",85,Point,In Service,CENTRAL,11626
-87.768381,41.984582,Central & Seminole,CHICAGO,SEMINOLE,SB,"Central &amp; Seminole",,-87.768381,41.984582,FS,"Central &amp; Seminole","85,85A",Point,In Service,CENTRAL,11515
-87.768183999,41.987121,Central & Leonard,CHICAGO,LEONARD,NB,"Central &amp; Leonard",,-87.768184,41.987121,NT,"Central &amp; Leonard",85A,Point,In Service,CENTRAL,11637
-87.768461999,42.00244,Lehigh & Hiawatha,CHICAGO,HIAWATHA,SEB,"Lehigh &amp; Hiawatha",,-87.768462,42.00244,NS,"Lehigh &amp; Hiawatha",85A,Point,In Service,LEHIGH,11674
-87.766328242,41.774388005,65th Street & Menard,CHICAGO,MENARD(west leg),WB,"65th Street &amp; Menard",,-87.766328,41.774388,NS,"65th Street &amp; Menard",165,Point,In Service,65TH STREET,3332
-87.763906932,41.774447889,65th Street & Major,CHICAGO,MAJOR (west leg),WB,"65th Street &amp; Major",,-87.763907,41.774448,NT,"65th Street &amp; Major",165,Point,In Service,65TH STREET,3331
-87.764075326,41.778074813,63rd Street & Major,CHICAGO,MAJOR,WB,"63rd Street &amp; Major",,-87.764075,41.778075,NS,"63rd Street &amp; Major",63W,Point,In Service,63RD STREET,3292
-87.764645953,41.795441078,Archer & Major,CHICAGO,MAJOR (west leg),SWB,"Archer &amp; Major",,-87.764646,41.795441,NS,"Archer &amp; Major","62,62H",Point,In Service,ARCHER,4525
-87.764169312,41.865666315,Roosevelt & Central,CHICAGO,CENTRAL,WB,"Roosevelt &amp; Central",,-87.764169,41.865666,NS,"Roosevelt &amp; Central",12,Point,In Service,ROOSEVELT,382
-87.764115596,41.867331937,Central & Fillmore,CHICAGO,FILLMORE,NB,"Central &amp; Fillmore",,-87.764116,41.867332,NT,"Central &amp; Fillmore",12,Point,In Service,CENTRAL,17223
-87.765036624,41.882352748,Central & Washington,CHICAGO,WASHINGTON,SB,"Central &amp; Washington",,-87.765037,41.882353,NS,"Central &amp; Washington",85,Point,In Service,CENTRAL,11570
-87.764691725,41.880357032,Madison & Central,CHICAGO,CENTRAL,WB,"Madison &amp; Central",N20,-87.764692,41.880357,NS,"Madison &amp; Central",20,Point,In Service,MADISON,505
-87.764955626,41.885581821,Central & Fulton,CHICAGO,FULTON,NB,"Central &amp; Fulton",,-87.764956,41.885582,NS,"Central &amp; Fulton",85,Point,In Service,CENTRAL,11582
